nombre,pais,institucion,tipo,fecha_inicio,fecha_finalizacion,descripcion,participantes,resultados,estado
Movilidad de investigación,Reino Unido,University of Oxford,mobility,2023-04-01,2024-04-01,Estancias para investigadores senior,12 académicos beneficiados,Proyectos conjuntos de alto impacto,active
Proyecto de urbanismo sostenible,Holanda,Universidad Tecnológica de Delft,project,2023-03-15,2025-09-15,Diseño de ciudades inteligentes,Equipo internacional,Modelos urbanos innovadores,active
Programa de derechos humanos,Suiza,Instituto de Altos Estudios Internacionales,mobility,2023-07-01,2023-12-01,Formación especializada en derecho internacional,35 participantes certificados,Red de profesionales en DDHH,active
Acuerdo de transferencia tecnológica,Corea del Sur,Instituto Avanzado de Ciencia y Tecnología de Corea,agreement,2022-12-01,2027-12-01,Cooperación en desarrollo tecnológico,,Patentes conjuntas y capacitación,active
Red de historia global,Varios países,Asociación Internacional de Historiadores,network,2020-09-01,2025-09-01,Estudios comparativos de procesos históricos,200 académicos asociados,Publicaciones colectivas,active
Movilidad estudiantil corta,Portugal,Universidad de Lisboa,mobility,2023-05-01,2023-07-01,Estancias académicas de un trimestre,15 estudiantes por edición,Créditos académicos reconocidos,active
Proyecto de inteligencia artificial,China,Universidad de Tsinghua,project,2023-06-01,2026-06-01,Desarrollo de algoritmos para salud digital,8 investigadores principales,Aplicaciones médicas innovadoras,active
Programa de periodismo internacional,Estados Unidos,Columbia University,mobility,2023-08-15,2023-12-15,Especialización en cobertura global,18 becarios seleccionados,Red de corresponsales internacionales,active
Acuerdo de doble grado,Bélgica,Universidad Católica de Lovaina,agreement,2022-03-01,2032-03-01,Programa integrado de licenciatura y maestría,,Titulación conjunta reconocida,active
Red de innovación educativa,Varios países,Alianza Global para la Educación,network,2021-02-15,2026-02-15,Modernización de metodologías de enseñanza,150 instituciones educativas,Plataforma de recursos compartidos,active
Movilidad de verano científico,Suecia,Instituto Karolinska,mobility,2023-07-01,2023-09-01,Pasantías en laboratorios de investigación médica,10 estudiantes destacados,Experiencia en investigación de punta,active
Proyecto arqueológico submarino,Grecia,Universidad de Atenas,project,2023-10-01,2025-10-01,Exploración de yacimientos en el Mediterráneo,Equipo internacional especializado,Descubrimientos históricos,pending
Programa de diplomacia,Estados Unidos,Georgetown University,mobility,2023-01-10,2023-05-10,Formación en relaciones internacionales,25 futuros diplomáticos,Simulacros de negociación multilateral,active
Acuerdo de cooperación judicial,Italia,Universidad de Roma Tre,agreement,2022-11-15,2027-11-15,Intercambio de buenas prácticas en justicia,,Seminarios especializados,active
Red de estudios africanos,Varios países,Consejo para el Desarrollo de la Investigación en Ciencias Sociales en África,network,2021-04-01,2026-04-01,Análisis de dinámicas sociales contemporáneas,22 países miembros,Informes regionales periódicos,active
Movilidad gastronómica,Francia,Le Cordon Bleu,mobility,2023-09-01,2024-03-01,Formación en alta cocina internacional,12 chefs en formación,Intercambio de técnicas culinarias,active
Proyecto de genómica,Estados Unidos,Massachusetts Institute of Technology,project,2023-02-15,2026-02-15,Investigación avanzada en secuenciación genética,Equipo internacional de genetistas,Avances en medicina personalizada,active
Programa de escritura creativa,Irlanda,Universidad de Dublín,mobility,2023-06-01,2023-08-01,Taller intensivo con autores reconocidos,15 escritores noveles,Publicación de antología literaria,active
Acuerdo de patrimonio cultural,India,Universidad de Delhi,agreement,2022-05-20,2032-05-20,Preservación de sitios históricos,,Catalogación de bienes culturales,active
Red de nanotecnología,Varios países,Iniciativa Global en Nanociencias,network,2021-09-15,2031-09-15,Aplicaciones industriales de la nanotecnología,30 centros de investigación,Desarrollo de nuevos materiales,active
Movilidad en ingeniería,Singapur,Universidad Tecnológica de Nanyang,mobility,2023-11-01,2024-05-01,Intercambio en programas de ingeniería avanzada,20 estudiantes por cohorte,Colaboración en proyectos tecnológicos,active
Proyecto de cambio climático,Noruega,Universidad de Oslo,project,2023-04-01,2025-04-01,Modelos predictivos para el Ártico,Equipo científico internacional,Recomendaciones para políticas públicas,active
Programa de cine documental,México,Centro de Capacitación Cinematográfica,mobility,2023-08-01,2023-11-01,Taller de producción documental internacional,12 realizadores seleccionados,Cortometrajes colaborativos,active
Acuerdo de estudios estratégicos,Rusia,Universidad Estatal de Moscú,agreement,2022-08-15,2027-08-15,Análisis geopolítico y de seguridad internacional,,Simposios anuales,active
Red de museología,Varios países,Consejo Internacional de Museos,network,2021-06-01,2026-06-01,Innovación en gestión de patrimonio museístico,120 museos asociados,Exposiciones itinerantes,active
Movilidad en diseño industrial,Finlandia,Universidad Aalto,mobility,2023-01-15,2023-06-15,Intercambio en programas de diseño escandinavo,10 diseñadores participantes,Proyectos de mobiliario sostenible,active
Proyecto de acuicultura sostenible,Vietnam,Universidad de Can Tho,project,2023-07-01,2025-01-01,Técnicas de cultivo responsable de especies acuáticas,Equipo de biólogos marinos,Manuales de buenas prácticas,pending
Programa de música clásica,Austria,Universidad de Música y Arte Dramático de Viena,mobility,2023-10-01,2024-02-01,Perfeccionamiento instrumental con maestros,8 músicos seleccionados,Conciertos de gala,active
